precinct,Month,ComplainCount,ArrestCount,Borough
1.0,1,131,219,MANHATTAN
1.0,2,105,207,MANHATTAN
1.0,3,135,271,MANHATTAN
1.0,4,271,246,MANHATTAN
1.0,5,370,281,MANHATTAN
1.0,6,235,252,MANHATTAN
1.0,7,102,201,MANHATTAN
1.0,8,103,241,MANHATTAN
1.0,9,235,244,MANHATTAN
1.0,10,157,270,MANHATTAN
1.0,11,117,235,MANHATTAN
1.0,12,185,232,MANHATTAN
5.0,1,110,354,MANHATTAN
5.0,2,105,303,MANHATTAN
5.0,3,137,346,MANHATTAN
5.0,4,167,383,MANHATTAN
5.0,5,214,353,MANHATTAN
5.0,6,167,332,MANHATTAN
5.0,7,132,332,MANHATTAN
5.0,8,101,328,MANHATTAN
5.0,9,138,317,MANHATTAN
5.0,10,157,291,MANHATTAN
5.0,11,153,256,MANHATTAN
5.0,12,199,222,MANHATTAN
6.0,1,161,245,MANHATTAN
6.0,2,118,195,MANHATTAN
6.0,3,203,209,MANHATTAN
6.0,4,202,200,MANHATTAN
6.0,5,273,223,MANHATTAN
6.0,6,188,156,MANHATTAN
6.0,7,152,177,MANHATTAN
6.0,8,116,248,MANHATTAN
6.0,9,206,170,MANHATTAN
6.0,10,280,249,MANHATTAN
6.0,11,232,197,MANHATTAN
6.0,12,230,204,MANHATTAN
7.0,1,178,221,MANHATTAN
7.0,2,147,183,MANHATTAN
7.0,3,158,201,MANHATTAN
7.0,4,206,250,MANHATTAN
7.0,5,224,260,MANHATTAN
7.0,6,187,188,MANHATTAN
7.0,7,182,211,MANHATTAN
7.0,8,165,203,MANHATTAN
7.0,9,241,212,MANHATTAN
7.0,10,193,242,MANHATTAN
7.0,11,193,178,MANHATTAN
7.0,12,222,230,MANHATTAN
9.0,1,329,275,MANHATTAN
9.0,2,359,234,MANHATTAN
9.0,3,409,258,MANHATTAN
9.0,4,474,246,MANHATTAN
9.0,5,579,256,MANHATTAN
9.0,6,503,272,MANHATTAN
9.0,7,294,259,MANHATTAN
9.0,8,292,271,MANHATTAN
9.0,9,453,209,MANHATTAN
9.0,10,542,246,MANHATTAN
9.0,11,416,276,MANHATTAN
9.0,12,401,233,MANHATTAN
10.0,1,78,255,MANHATTAN
10.0,2,74,219,MANHATTAN
10.0,3,94,231,MANHATTAN
10.0,4,122,226,MANHATTAN
