Location Type,precinct,Month,ComplainCount
Club/Bar/Restaurant,1.0,1,13
Club/Bar/Restaurant,1.0,2,11
Club/Bar/Restaurant,1.0,3,18
Club/Bar/Restaurant,1.0,4,18
Club/Bar/Restaurant,1.0,5,30
Club/Bar/Restaurant,1.0,6,33
Club/Bar/Restaurant,1.0,7,8
Club/Bar/Restaurant,1.0,8,12
Club/Bar/Restaurant,1.0,9,49
Club/Bar/Restaurant,1.0,10,22
Club/Bar/Restaurant,1.0,11,22
Club/Bar/Restaurant,1.0,12,24
Club/Bar/Restaurant,5.0,1,12
Club/Bar/Restaurant,5.0,2,6
Club/Bar/Restaurant,5.0,3,19
Club/Bar/Restaurant,5.0,4,16
Club/Bar/Restaurant,5.0,5,36
Club/Bar/Restaurant,5.0,6,27
Club/Bar/Restaurant,5.0,7,22
Club/Bar/Restaurant,5.0,8,20
Club/Bar/Restaurant,5.0,9,26
Club/Bar/Restaurant,5.0,10,45
Club/Bar/Restaurant,5.0,11,26
Club/Bar/Restaurant,5.0,12,59
Club/Bar/Restaurant,6.0,1,19
Club/Bar/Restaurant,6.0,2,17
Club/Bar/Restaurant,6.0,3,32
Club/Bar/Restaurant,6.0,4,28
Club/Bar/Restaurant,6.0,5,57
Club/Bar/Restaurant,6.0,6,35
Club/Bar/Restaurant,6.0,7,20
Club/Bar/Restaurant,6.0,8,22
Club/Bar/Restaurant,6.0,9,36
Club/Bar/Restaurant,6.0,10,42
Club/Bar/Restaurant,6.0,11,45
Club/Bar/Restaurant,6.0,12,56
Club/Bar/Restaurant,7.0,1,8
Club/Bar/Restaurant,7.0,2,15
Club/Bar/Restaurant,7.0,3,12
Club/Bar/Restaurant,7.0,4,23
Club/Bar/Restaurant,7.0,5,30
Club/Bar/Restaurant,7.0,6,28
Club/Bar/Restaurant,7.0,7,15
Club/Bar/Restaurant,7.0,8,12
Club/Bar/Restaurant,7.0,9,27
Club/Bar/Restaurant,7.0,10,36
Club/Bar/Restaurant,7.0,11,45
Club/Bar/Restaurant,7.0,12,46
Club/Bar/Restaurant,9.0,1,56
Club/Bar/Restaurant,9.0,2,41
Club/Bar/Restaurant,9.0,3,40
Club/Bar/Restaurant,9.0,4,55
Club/Bar/Restaurant,9.0,5,96
Club/Bar/Restaurant,9.0,6,78
Club/Bar/Restaurant,9.0,7,44
Club/Bar/Restaurant,9.0,8,43
Club/Bar/Restaurant,9.0,9,77
Club/Bar/Restaurant,9.0,10,120
Club/Bar/Restaurant,9.0,11,73
Club/Bar/Restaurant,9.0,12,86
Club/Bar/Restaurant,10.0,1,4
Club/Bar/Restaurant,10.0,2,10
Club/Bar/Restaurant,10.0,3,12
Club/Bar/Restaurant,10.0,4,12
Club/Bar/Restaurant,10.0,5,18
Club/Bar/Restaurant,10.0,6,23
Club/Bar/Restaurant,10.0,7,11
Club/Bar/Restaurant,10.0,8,4
Club/Bar/Restaurant,10.0,9,14
Club/Bar/Restaurant,10.0,10,4
Club/Bar/Restaurant,10.0,11,12
Club/Bar/Restaurant,10.0,12,12
Club/Bar/Restaurant,13.0,1,7
Club/Bar/Restaurant,13.0,2,4
Club/Bar/Restaurant,13.0,3,9
Club/Bar/Restaurant,13.0,4,9
Club/Bar/Restaurant,13.0,5,40
Club/Bar/Restaurant,13.0,6,43
Club/Bar/Restaurant,13.0,7,32
Club/Bar/Restaurant,13.0,8,21
Club/Bar/Restaurant,13.0,9,50
Club/Bar/Restaurant,13.0,10,73
Club/Bar/Restaurant,13.0,11,30
Club/Bar/Restaurant,13.0,12,37
Club/Bar/Restaurant,14.0,1,11
Club/Bar/Restaurant,14.0,2,4
Club/Bar/Restaurant,14.0,3,7
Club/Bar/Restaurant,14.0,4,5
Club/Bar/Restaurant,14.0,5,6
Club/Bar/Restaurant,14.0,6,11
Club/Bar/Restaurant,14.0,7,4
Club/Bar/Restaurant,14.0,8,6
Club/Bar/Restaurant,14.0,9,4
Club/Bar/Restaurant,14.0,10,9
Club/Bar/Restaurant,14.0,11,10
Club/Bar/Restaurant,14.0,12,17
Club/Bar/Restaurant,17.0,1,31
Club/Bar/Restaurant,17.0,2,2
Club/Bar/Restaurant,17.0,3,9
Club/Bar/Restaurant,17.0,4,11
Club/Bar/Restaurant,17.0,5,26
Club/Bar/Restaurant,17.0,6,29
Club/Bar/Restaurant,17.0,7,21
Club/Bar/Restaurant,17.0,8,17
Club/Bar/Restaurant,17.0,9,17
Club/Bar/Restaurant,17.0,10,37
Club/Bar/Restaurant,17.0,11,17
Club/Bar/Restaurant,17.0,12,74
Club/Bar/Restaurant,18.0,1,45
Club/Bar/Restaurant,18.0,2,10
Club/Bar/Restaurant,18.0,3,23
Club/Bar/Restaurant,18.0,4,17
Club/Bar/Restaurant,18.0,5,88
Club/Bar/Restaurant,18.0,6,62
Club/Bar/Restaurant,18.0,7,30
Club/Bar/Restaurant,18.0,8,23
Club/Bar/Restaurant,18.0,9,58
Club/Bar/Restaurant,18.0,10,83
Club/Bar/Restaurant,18.0,11,67
Club/Bar/Restaurant,18.0,12,81
Club/Bar/Restaurant,19.0,1,22
Club/Bar/Restaurant,19.0,2,10
Club/Bar/Restaurant,19.0,3,14
Club/Bar/Restaurant,19.0,4,14
Club/Bar/Restaurant,19.0,5,75
Club/Bar/Restaurant,19.0,6,62
Club/Bar/Restaurant,19.0,7,38
Club/Bar/Restaurant,19.0,8,24
Club/Bar/Restaurant,19.0,9,83
Club/Bar/Restaurant,19.0,10,88
Club/Bar/Restaurant,19.0,11,51
Club/Bar/Restaurant,19.0,12,100
Club/Bar/Restaurant,20.0,1,4
Club/Bar/Restaurant,20.0,3,5
Club/Bar/Restaurant,20.0,4,7
Club/Bar/Restaurant,20.0,5,20
Club/Bar/Restaurant,20.0,6,12
Club/Bar/Restaurant,20.0,7,12
Club/Bar/Restaurant,20.0,8,6
Club/Bar/Restaurant,20.0,9,14
Club/Bar/Restaurant,20.0,10,13
Club/Bar/Restaurant,20.0,11,9
Club/Bar/Restaurant,20.0,12,55
Club/Bar/Restaurant,22.0,9,1
Club/Bar/Restaurant,22.0,12,1
Club/Bar/Restaurant,23.0,1,6
Club/Bar/Restaurant,23.0,2,4
Club/Bar/Restaurant,23.0,3,6
Club/Bar/Restaurant,23.0,4,6
Club/Bar/Restaurant,23.0,5,25
Club/Bar/Restaurant,23.0,6,10
Club/Bar/Restaurant,23.0,7,12
Club/Bar/Restaurant,23.0,8,2
Club/Bar/Restaurant,23.0,9,15
Club/Bar/Restaurant,23.0,10,23
Club/Bar/Restaurant,23.0,11,14
Club/Bar/Restaurant,23.0,12,6
Club/Bar/Restaurant,24.0,1,11
Club/Bar/Restaurant,24.0,2,3
Club/Bar/Restaurant,24.0,3,5
Club/Bar/Restaurant,24.0,4,8
Club/Bar/Restaurant,24.0,5,16
Club/Bar/Restaurant,24.0,6,4
Club/Bar/Restaurant,24.0,7,9
Club/Bar/Restaurant,24.0,8,6
Club/Bar/Restaurant,24.0,9,7
Club/Bar/Restaurant,24.0,10,22
Club/Bar/Restaurant,24.0,11,31
Club/Bar/Restaurant,24.0,12,30
Club/Bar/Restaurant,25.0,2,1
Club/Bar/Restaurant,25.0,3,1
Club/Bar/Restaurant,25.0,4,4
Club/Bar/Restaurant,25.0,5,12
Club/Bar/Restaurant,25.0,6,10
Club/Bar/Restaurant,25.0,7,10
Club/Bar/Restaurant,25.0,8,5
Club/Bar/Restaurant,25.0,9,5
Club/Bar/Restaurant,25.0,10,13
Club/Bar/Restaurant,25.0,11,5
Club/Bar/Restaurant,25.0,12,5
Club/Bar/Restaurant,26.0,1,8
Club/Bar/Restaurant,26.0,2,5
Club/Bar/Restaurant,26.0,3,4
Club/Bar/Restaurant,26.0,4,1
Club/Bar/Restaurant,26.0,5,12
Club/Bar/Restaurant,26.0,6,6
Club/Bar/Restaurant,26.0,7,3
Club/Bar/Restaurant,26.0,8,3
Club/Bar/Restaurant,26.0,9,4
Club/Bar/Restaurant,26.0,10,4
Club/Bar/Restaurant,26.0,11,1
Club/Bar/Restaurant,26.0,12,2
Club/Bar/Restaurant,28.0,1,8
