precinct,Month,ComplainCount,FelonyCrimes,MisdimCrimes,Borough,BarCount
1.0,1,13,80,96,MANHATTAN,42
1.0,2,11,67,81,MANHATTAN,42
1.0,3,18,107,115,MANHATTAN,42
1.0,4,18,79,101,MANHATTAN,42
1.0,5,30,98,118,MANHATTAN,42
1.0,6,33,101,87,MANHATTAN,42
1.0,7,8,71,81,MANHATTAN,42
1.0,8,12,95,131,MANHATTAN,42
1.0,9,49,97,130,MANHATTAN,42
1.0,10,22,104,133,MANHATTAN,42
1.0,11,22,90,123,MANHATTAN,42
1.0,12,24,83,149,MANHATTAN,42
5.0,1,12,171,114,MANHATTAN,61
5.0,2,6,126,87,MANHATTAN,61
5.0,3,19,154,78,MANHATTAN,61
5.0,4,16,200,60,MANHATTAN,61
5.0,5,36,167,74,MANHATTAN,61
5.0,6,27,132,107,MANHATTAN,61
5.0,7,22,153,83,MANHATTAN,61
5.0,8,20,142,67,MANHATTAN,61
5.0,9,26,166,71,MANHATTAN,61
5.0,10,45,123,75,MANHATTAN,61
5.0,11,26,103,60,MANHATTAN,61
5.0,12,59,106,39,MANHATTAN,61
6.0,1,19,138,63,MANHATTAN,109
6.0,2,17,99,77,MANHATTAN,109
6.0,3,32,112,68,MANHATTAN,109
6.0,4,28,101,67,MANHATTAN,109
6.0,5,57,103,89,MANHATTAN,109
6.0,6,35,72,71,MANHATTAN,109
6.0,7,20,86,59,MANHATTAN,109
6.0,8,22,107,81,MANHATTAN,109
6.0,9,36,93,49,MANHATTAN,109
6.0,10,42,111,100,MANHATTAN,109
6.0,11,45,94,78,MANHATTAN,109
6.0,12,56,102,76,MANHATTAN,109
7.0,1,8,87,61,MANHATTAN,68
7.0,2,15,75,41,MANHATTAN,68
7.0,3,12,67,63,MANHATTAN,68
7.0,4,23,87,68,MANHATTAN,68
7.0,5,30,99,67,MANHATTAN,68
7.0,6,28,77,57,MANHATTAN,68
7.0,7,15,86,64,MANHATTAN,68
7.0,8,12,91,55,MANHATTAN,68
7.0,9,27,92,59,MANHATTAN,68
7.0,10,36,130,56,MANHATTAN,68
7.0,11,45,97,47,MANHATTAN,68
7.0,12,46,117,49,MANHATTAN,68
9.0,1,56,138,98,MANHATTAN,153
9.0,2,41,101,87,MANHATTAN,153
9.0,3,40,120,89,MANHATTAN,153
9.0,4,55,108,72,MANHATTAN,153
9.0,5,96,117,76,MANHATTAN,153
9.0,6,78,130,62,MANHATTAN,153
9.0,7,44,128,67,MANHATTAN,153
9.0,8,43,152,86,MANHATTAN,153
